Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Dominant_OT
185.615,1.009446408548412,-1.13952218478853,-0.11963828313191137,-0.7086780656357607,0.49032527551199834,fruity
185.621P,2.2703154640207277,-0.51093201382863,1.0580142747761772,-1.8350292882595476,0.03539621689580673,fruity
185.644P,1.7028897760472497,-0.5111806525911741,0.9098795200751696,-1.5924034344529225,0.05064869095206563,fruity
185.664,-0.9888357614042373,-0.43452257967324565,-0.26068137974933236,-0.8358102321777353,0.12042917288953406,fruity
185.675P,-1.4622145739445203,0.3413059564158654,0.5089587330366069,-0.9887702780576817,-0.08493872997258986,fresh
185.727P,-1.9801550059869493,-0.8555831938044622,-0.43824655469129176,0.48959864373419143,0.42227832044254293,fresh
185.741P,-1.538740581023163,-0.7452261506630884,-0.3372199838285778,0.039208921802861424,0.3430504995106822,fruity
185.748P,8.222892979600642,1.0124878905776524,5.365482951565243,-0.034822094905124786,3.21852558162145,fruity
185.796P,-2.5460474951755163,-0.04317309589653753,-0.9435874225109564,0.3719509339762115,-0.14341526454372117,warm
185.902P,-1.8928720755339998,-0.8860638889646967,-0.6316446092411295,0.8753763701878138,0.3003827408143554,fruity
185.922P,-1.5917572258601225,-0.6194433549059618,-0.7254520548233192,0.7146105070380443,0.2998172557339839,fruity
185.984P,-1.3474669648310318,-0.6006573466752327,-0.956478958676988,0.9459664902898329,0.3649493598573063,fruity
186.179P,-2.649039078390388,1.0183475278765477,-1.5015461936273353,0.07964769594331854,-0.4684523648968652,warm
186.190P,-0.1514498555091442,-1.000607093415651,-0.09384793584255476,-2.1815101871019005,0.15030919023436395,fresh
186.192,-0.4325227873906959,-1.0430409858810672,-0.2994947282221832,-1.903752594880944,0.34745864101432916,fresh
186.277P,-0.08197623825379871,-0.7871219817637526,-0.11013347607801374,-0.17737053355403237,0.16127844751661252,fruity
186.293P,-2.1086688201063652,0.13524941765245083,-0.8296487082931085,0.6069605298818681,0.1690485790694988,fresh
186.395P,-1.297331472458024,7.47285987829378,-2.9276410689585934,-1.0560062564875048,0.21478068214612053,fruity
186.396P,-1.1687237731968323,6.136179250126591,-2.5693516652959896,-0.7883109274205133,0.25992356986879067,fruity
186.490P,-0.2240192502847411,1.35451060729934,-0.4997322372016701,-1.2634769767786007,-0.950890887980256,fruity
186.569P,-1.3858272160124299,-0.8748288881233389,-0.6935175382089673,0.5670944352912985,0.17787002877124727,fruity
186.821,-1.215474826097413,-0.5212281716430249,-0.28542886434274534,0.5564698399747449,-0.3132099429884153,fruity
186.950P,-1.1410480203663,-2.990365826519894,-0.4550710163808079,-5.866875010177346,1.4450943381305845,fruity
186.981P,2.3777707040195977,2.486296049614813,3.06999349200576,0.11564274621505367,-1.9556180305314985,fruity
186.985P,-1.389627588537128,-0.9705332780921947,-0.9220018514439997,0.8138820414406839,-0.2750005373151313,warm
187.004P,-0.4657328253148647,1.0629431967571077,-2.0095607449257664,14.19748990237591,-8.105541580883786,fruity
187.015P,0.5278498734663934,5.5650499115069705,9.45205797094386,8.549348114023584,14.774071402849554,fruity
187.061P,-1.6160881685460748,-0.4441618493212974,0.15932680133582705,0.22032495124995047,1.132869708441562,fruity
