Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29200821,186.277P,R01682,60030222,Isobutylacetat Halal Kosher,0.0025200000,110-19-0,fruity,ethereal,banana,tropical,fruity,fresh,green,1,,,,
RE00734_A01,185.471,R01958,60030413,"Isobutylacetat, natürlich Kosher Halal",0.0018370000,110-19-0,fruity,ethereal,banana,tropical,fruity,fresh,green,1,,,,
29201733,187.657P,R01958,60030413,"Isobutylacetat, natürlich Kosher Halal",0.0004430000,110-19-0,fruity,ethereal,banana,tropical,fruity,fresh,green,1,,,,
29201969,187.894P,R02041,60030486,"Ethyldecanoat, natürlich, Kosher Halal, V",0.0001280000,110-38-3,waxy,fruity,apple,brandy,warm,fruity,,"0,1",,,,
RE00429_A02,185.028,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000092138,110-43-0,cheesy,fruity,spicy,herbal,floral,fruity,warm,"0,05",,,,
29201231,185.507P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000170000,110-43-0,cheesy,fruity,spicy,herbal,floral,fruity,warm,"0,05",,,,
29201573,187.507P,R02003,60030452,"Methylheptenon, natürlich Kosher; Halal V;",0.0005500000,110-93-0,citrus,green,musty,lemongrass,fresh,green,unpleasant,"0,066666667",,,,
29200042,185.237H,R01664,60030205,Hexanol Kosher Halal,0.0013860000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200034,185.294,R01664,60030205,Hexanol Kosher Halal,0.0015570000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200240,185.675P,R01664,60030205,Hexanol Kosher Halal,0.0050000000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200821,186.277P,R01664,60030205,Hexanol Kosher Halal,0.0013850000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201891,187.796P,R01664,60030205,Hexanol Kosher Halal,0.0003680000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
RE00429_A02,185.028,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0001925000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200716,185.382P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0004600000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201231,185.507P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0000030000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201573,187.507P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0000900000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
