Stamm-Nr.,Rez.-Nr.,Rezepturbezeichnung,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),,,
29200308,186.396P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0003040000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29200823,186.950P,Erdbeer-Aroma,60030361,Buttersäure Halal Kosher,0.0000850000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201573,187.507P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0005070000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201588,187.522P,Erdbeer-Aroma,60030361,Buttersäure Halal Kosher,0.0004440000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201835,187.746P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0003440000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201878,187.783P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0005160000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201955,187.885P,Erdbeer-Aroma,60030361,Buttersäure Halal Kosher,0.0024860000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201971,187.892P,Erdbeer-Aroma,60030361,Buttersäure Halal Kosher,0.0129280000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201964,187.893P,Erdbeer-Aroma,60030361,Buttersäure Halal Kosher,0.0001550000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29201969,187.894P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0028120000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29202007,187.920P,Erdbeer-Aroma,60030361,Buttersäure Halal Kosher,0.0060350000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29202470,188.375P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0034380000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29202746,188.628P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0010140000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29202795,188.668P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0090000000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29202914,188.796P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0000240000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0007530000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030161,Ethylisovalerat Kosher Halal,0.0139810000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29203204,185.922P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0000010000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0004830000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29200974,187.061P,Erdbeer-Aroma,60030161,Ethylisovalerat Kosher Halal,0.0007180000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
